Community Board,Borough,Total Population,White Nonhispanic,Black Nonhispanic,Asian and Pacific Islander Nonhispanic,Other Nonhispanic,Two or More Races Nonhispanic,Hispanic Origin,Female,Male,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 44 years,45 to 64 years,65 years and over,18 years and over,In households,In households - In family households,In households - Householder,In households - Spouse,In households - Own child under 18 years,In households - Other relatives,In households - Nonrelatives,In nonfamily households,In nonfamily households - Householder,In nonfamily households - Householder - Household 65 years and over living alone,In nonfamily households - Nonrelatives,In group quarters,Total Households,Family households ,Family households - Married-couple family ,Family households - Married-couple family - With related children under 18 years,"Family households - Female householder, no husband present ","Family households - Female householder, no husband present - With related children under 18 years","Family households - Male householder, no wife present ","Family households - Male householder, no wife present - With related children under 18 years",Nonfamily households ,Households with one or more persons 65 years and over ,Persons Per Family,Persons Per Household ,Total Housing Units,Occupied Housing Units,Renter occupied ,Owner occupied ,By Household Size - 1  person household ,By Household Size - 2  person household ,By Household Size - 3  person household ,By Household Size - 4  person household ,By Household Size - 5 persons and over ,By Age of Householder - 15 to 24 years  ,By Age of Householder - 25 to 44 years ,By Age of Householder - 45 to 64 years ,By Age of Householder - 65 years and over 
NYC,N/A,"8,175,133","2,722,904","1,861,295","1,030,914","75,268","148,676","2,336,076","4,292,589","3,882,544","517,724","473,159","468,154","535,833","642,585","2,547,132","1,997,388","993,158","6,407,022","7,989,603","6,377,302","1,850,221","1,097,870","1,486,946","1,708,262","234,003","1,612,301","1,259,563","310,684","352,738","185,530","3,109,784","1,850,221","1,097,870","529,522","581,745","343,280","170,606","75,945","1,259,563","763,496",3.32,2.57,"3,371,062","3,109,784","2,146,892","962,892","995,755","858,781","496,643","377,689","380,916","119,317","1,192,921","1,161,985","635,561"
201,The Bronx,"91,497","1,428","23,680",542,393,567,"64,887","48,615","42,882","7,609","7,572","7,462","8,910","8,135","25,332","18,343","8,134","63,593","89,607","78,962","21,117","6,714","22,074","25,215","3,842","10,645","8,783","2,883","1,862","1,890","29,900","21,117","6,714","4,066","12,165","8,571","2,238","1,169","8,783","6,918",3.56,3.00,"31,623","29,900","27,866","2,034","7,565","6,684","5,566","4,292","5,793","1,167","11,514","11,311","5,908"
202,The Bronx,"52,246",694,"11,536",341,236,350,"39,089","27,163","25,083","4,537","4,248","4,299","4,598","4,744","15,135","10,606","4,079","36,459","50,009","44,053","11,753","4,024","12,754","13,087","2,435","5,956","4,797","1,266","1,159","2,237","16,550","11,753","4,024","2,456","6,387","4,639","1,342",753,"4,797","3,310",3.54,3.02,"17,859","16,550","15,191","1,359","4,033","3,564","3,163","2,670","3,120",711,"6,861","6,277","2,701"
203,The Bronx,"79,762",918,"31,387",380,429,635,"46,013","43,395","36,367","6,842","6,733","6,874","7,709","6,773","21,608","16,846","6,377","54,626","77,405","68,104","18,696","5,797","20,496","20,241","2,874","9,301","7,864","2,135","1,437","2,357","26,560","18,696","5,797","3,544","10,936","7,864","1,963","1,065","7,864","5,395",3.49,2.91,"28,182","26,560","24,377","2,183","6,793","6,125","5,188","3,816","4,638",986,"10,720","10,405","4,449"
204,The Bronx,"146,441","2,193","47,344","2,258",926,"1,382","92,338","77,447","68,994","12,372","11,449","11,262","12,658","12,067","41,853","32,447","12,333","103,817","143,697","124,299","33,542","12,121","34,384","37,821","6,431","19,398","15,743","4,279","3,655","2,744","49,285","33,542","12,121","7,649","17,089","11,799","4,332","2,176","15,743","10,300",3.51,2.92,"51,652","49,285","45,809","3,476","13,185","10,938","9,051","7,343","8,768","1,784","19,447","19,826","8,228"
205,The Bronx,"128,200","1,791","36,795","1,949",944,"1,121","85,600","67,595","60,605","10,973","10,302","10,217","11,729","11,343","36,496","28,672","8,468","89,872","125,384","110,646","29,422","9,855","30,695","34,667","6,007","14,738","11,524","2,332","3,214","2,816","40,946","29,422","9,855","6,085","15,944","11,425","3,623","1,950","11,524","7,162",3.56,3.06,"43,460","40,946","39,279","1,667","9,382","9,062","7,973","6,537","7,992","1,770","16,646","17,157","5,373"
206,The Bronx,"83,268","6,219","21,548",952,425,675,"53,449","44,402","38,866","7,112","6,929","6,855","8,985","8,586","22,481","15,847","6,473","57,802","78,747","67,189","18,305","5,960","20,966","18,631","3,327","11,558","9,150","2,501","2,408","4,521","27,455","18,305","5,960","3,711","10,373","7,751","1,972","1,046","9,150","5,447",3.49,2.87,"29,291","27,455","25,524","1,931","7,566","6,100","5,166","3,966","4,657","1,631","11,289","9,999","4,536"
207,The Bronx,"139,286","10,023","26,165","9,189","1,260","1,670","90,979","73,234","66,052","11,363","10,331","9,798","11,306","11,668","42,327","31,236","11,257","101,188","136,530","116,595","31,807","12,974","31,334","34,421","6,059","19,935","15,757","3,346","4,178","2,756","47,564","31,807","12,974","7,794","14,939","10,275","3,894","2,040","15,757","8,572",3.48,2.87,"50,161","47,564","43,953","3,611","12,814","11,029","8,767","7,145","7,809","1,950","20,133","18,896","6,585"
208,The Bronx,"101,731","39,190","11,434","5,048",538,"1,365","44,156","55,831","45,900","6,315","5,332","5,260","6,696","7,262","27,386","25,534","17,946","81,209","96,458","75,450","23,859","13,959","18,080","17,119","2,433","21,008","17,476","5,857","3,532","5,273","41,335","23,859","13,959","6,262","7,900","4,791","2,000",923,"17,476","11,947",3.06,2.33,"44,164","41,335","28,009","13,326","14,910","11,952","6,419","4,635","3,419","1,146","13,832","15,912","10,445"
209,The Bronx,"172,298","4,749","53,070","9,937","2,559","2,632","99,351","92,207","80,091","12,422","12,266","12,602","14,345","13,383","48,891","40,677","17,712","126,518","170,985","147,258","41,731","17,759","37,551","43,597","6,620","23,727","19,879","5,314","3,848","1,313","61,610","41,731","17,759","9,606","19,327","12,594","4,645","2,370","19,879","14,181",3.37,2.78,"64,604","61,610","48,961","12,649","17,024","15,291","11,357","8,655","9,283","1,888","22,990","25,138","11,594"
